"AoA, deg",CL,CD,CM,"Time, s","Thrust, N",Cltail
-10,0.114513242,0.029953954,0.267496101,0,0,-1.09606677
-8,0.175420919,0.023734486,0.213996881,2,5000,-0.876853416
-6,0.236529504,0.018897122,0.160497661,4,5000,-0.657640062
-4,0.297653312,0.015441862,0.106998441,6,5000,-0.438426708
-2,0.358606656,0.013368706,0.05349922,8,5000,-0.219213354
0,0.419203852,0.012677654,0,10,5000,-2.24E-16
2,0.479259213,0.013368706,-0.05349922,15,5000,0.219213354
4,0.538587054,0.015441862,-0.106998441,20,0,0.438426708
6,0.59700169,0.018897122,-0.160497661,25,0,0.657640062
8,0.654317434,0.023734486,-0.213996881,35,0,0.876853416
10,0.710348602,0.029953954,-0.267496101,40,0,1.09606677
12,0.764909507,0.037555526,-0.320995322,,,1.315280124
14,0.817814464,0.046539202,-0.374494542,,,1.534493478
